32,Albuquerque,New Mexico,NM,557169,172.2
182,Syracuse,New York,NY,144263,118.3
103,Rochester,New York,NY,209983,118.9
35,Sacramento,California,CA,485199,275.79999
87,Winstonï¿½Salem,North Carolina,NC,239269,138.60001
230,Beaumont,Texas,TX,117585,133.3
58,Corpus Christi,Texas,TX,320434,172.89999
22,Washington[13],District of Columbia,DC,658893,367.79999
67,Greensboro,North Carolina,NC,282586,138.3
99,Boise[22],Idaho,ID,216282,178.7
17,Charlotte,North Carolina,NC,809958,197.2
40,Virginia Beach[15],Virginia,VA,450980,190
28,Portland,Oregon,OR,619360,289.39999
96,Baton Rouge[21],Louisiana,LA,228895,177.2
53,Tampa,Florida,FL,358699,156
24,Boston,Massachusetts,MA,655884,374.60001
117,Shreveport,Louisiana,LA,198242,151.60001
61,Lexington[18],Kentucky,KY,310797,141.2
26,Baltimore[15],Maryland,MD,622793,223.10001
89,Reno,Nevada,NV,236995,268.70001
203,Cedar Rapids,Iowa,IA,129195,156.89999
254,Manchester,New Hampshire,NH,110448,237.39999
25,Nashville[14],Tennessee,TN,644014,186.39999
235,Fargo,North Dakota,ND,115863,180
33,Tucson,Arizona,AZ,527972,178.10001
183,Dayton,Ohio,OH,141003,107.2
155,Eugene,Oregon,OR,160561,211.3
23,Memphis,Tennessee,TN,656861,132.10001
141,Chattanooga,Tennessee,TN,173778,143.60001
3,Chicago,Illinois,IL,2722389,192.5
241,Wilmington,North Carolina,NC,113657,197.5
10,San Jose,California,CA,1015785,900
43,Raleigh,North Carolina,NC,439896,218.89999
226,Allentown,Pennsylvania,PA,119104,162.7
122,Mobile,Alabama,AL,194675,122.5
11,Austin,Texas,TX,912791,249.10001
275,Palm Bay,Florida,FL,105838,145
14,Indianapolis[11],Indiana,IN,848788,139.2
101,Birmingham,Alabama,AL,212247,162.89999
98,Richmond[15],Virginia,VA,217853,212.5
114,Montgomery,Alabama,AL,200481,129
13,San Francisco[10],California,CA,852469,748.29999
6,Phoenix,Arizona,AZ,1537058,206.10001
289,Davenport,Iowa,IA,102448,109.4
278,Boulder,Colorado,CO,105112,442.20001
124,Salt Lake City,Utah,UT,190884,243.3
236,Peoria,Illinois,IL,115828,105.2
47,Tulsa,Oklahoma,OK,399682,145.10001
171,Rockford,Illinois,IL,149123,78.6
140,Port St. Lucie,Florida,FL,174110,172
65,Cincinnati,Ohio,OH,298165,135
72,Lincoln,Nebraska,NE,272996,150.2
42,Colorado Springs,Colorado,CO,445830,220.10001
4,Houston[7],Texas,TX,2239558,200.3
55,Honolulu[2],Hawai'i,HI,350399,699.29999
213,Topeka,Kansas,KS,127215,105.3
143,Jackson,Mississippi,MS,171155,154.10001
119,Little Rock,Arkansas,AR,197706,131.8
41,Omaha,Nebraska,NE,446599,148.10001
129,Knoxville,Tennessee,TN,184281,149.2
1,New York[6],New York,NY,8491079,388.60001
49,Wichita,Kansas,KS,388413,126
77,Fort Wayne,Indiana,IN,258522,106.3
2,Los Angeles,California,CA,3928864,434.70001
56,Anaheim,California,CA,346997,685.70001
238,Lansing,Michigan,MI,114620,114.6
233,Springfield,Illinois,IL,116809,115.2
162,Springfield,Massachusetts,MA,153991,183.89999
149,Springfield,Missouri,MO,165378,116.5
118,Akron,Ohio,OH,197859,95.4
31,Milwaukee,Wisconsin,WI,599642,195.39999
29,Las Vegas,Nevada,NV,613599,205.89999
9,Dallas,Texas,TX,1281047,192.5
5,Philadelphia[8],Pennsylvania,PA,1560297,204.89999
126,Tallahassee,Florida,FL,188107,170.5
83,Madison,Wisconsin,WI,245691,226.2
39,Atlanta,Georgia,GA,456002,158
131,Worcester,Massachusetts,MA,183016,226.89999
20,Seattle,Washington,WA,668342,352.39999
81,Durham,North Carolina,NC,251893,196.89999
125,Huntsville,Alabama,AL,188226,157.7
7,San Antonio,Texas,TX,1436697,184.7
290,Lakeland,Florida,FL,102346,136
152,Salem,Oregon,OR,161637,193.89999
46,Minneapolis,Minnesota,MN,407207,209.39999
8,San Diego,California,CA,1381069,510.29999
147,Sioux Falls,South Dakota,SD,168586,159.5
19,El Paso,Texas,TX,679036,138.39999
15,Columbus,Ohio,OH,835957,149.89999
120,Amarillo,Texas,TX,197254,144.39999
144,Cape Coral,Florida,FL,169854,208
198,New Haven,Connecticut,CT,130282,205.10001
21,Denver[12],Colorado,CO,663862,338.10001
102,Spokane,Washington,WA,212052,180.2
69,Newark,New Jersey,NJ,280579,350.79999
44,Miami,Florida,FL,430332,269.10001
134,Providence,Rhode Island,RI,179154,233.3
12,Jacksonville[9],Florida,FL,853382,182.5
206,Gainesville,Florida,FL,128460,169.89999
48,Cleveland,Ohio,OH,389521,105.9
37,Kansas City,Missouri,MO,470800,153
68,Toledo,Ohio,OH,281031,83.8
175,Bridgeport,Connecticut,CT,147612,342.70001
59,Riverside,California,CA,319504,281
30,Louisville[16],Kentucky,KY,612780,141.10001
109,Fayetteville,North Carolina,NC,203948,145
218,Hartford,Connecticut,CT,124705,202.60001
76,Buffalo,New York,NY,258703,117.3
221,Abilene,Texas,TX,120958,145.7
